apparentTemperature,cloudCover,date,dewPoint,hour,humidity,icon,ozone,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
1.78,0.0,2016-01-01,2.14,0,0.85,clear-night,,,0.0,0.0,,1021.89,Clear,4.37,1451602800,0.0,8.32,166.0,,2.96
0.83,0.06,2016-01-01,2.48,1,0.89,clear-night,,,0.0,0.0,,1021.72,Clear,4.06,1451606400,0.0,5.2,168.0,,3.79
0.78,0.37,2016-01-01,2.18,2,0.88,partly-cloudy-night,,,0.0,0.0,,1021.92,Partly Cloudy,3.91,1451610000,0.0,7.95,171.0,,3.58
1.68,0.75,2016-01-01,2.37,3,0.87,partly-cloudy-night,,,0.0,0.0,,1022.32,Mostly Cloudy,4.31,1451613600,0.0,8.53,166.0,,2.98
0.86,0.75,2016-01-01,1.85,4,0.87,partly-cloudy-night,,,0.0,0.0,,1022.74,Mostly Cloudy,3.83,1451617200,0.0,7.31,171.0,,3.33
1.87,0.45,2016-01-01,2.5,5,0.89,partly-cloudy-night,,,0.0,0.0,,1023.09,Partly Cloudy,4.21,1451620800,0.0,7.21,185.0,,2.6
1.67,0.17,2016-01-01,2.47,6,0.92,clear-night,,,0.0,0.0,,1023.19,Clear,3.69,1451624400,0.0,7.89,173.0,,2.18
1.39,0.06,2016-01-01,2.48,7,0.94,clear-night,,,0.0,0.0,,1023.92,Clear,3.42,1451628000,0.0,7.08,176.0,,2.12
1.16,0.03,2016-01-01,1.74,8,0.93,clear-night,,,0.0,0.0,,1024.49,Clear,2.77,1451631600,0.0,4.22,190.0,,1.68
0.53,0.06,2016-01-01,1.94,9,0.97,clear-day,,,0.0,0.0,,1024.97,Clear,2.32,1451635200,0.0,3.98,189.0,,1.77
1.86,0.0,2016-01-01,3.12,10,0.97,clear-day,,,0.0,0.0,,1025.17,Clear,3.57,1451638800,0.0,3.96,165.0,,1.86
3.41,0.07,2016-01-01,3.62,11,0.92,clear-day,,,0.0,0.0,,1025.35,Clear,4.76,1451642400,1.0,4.73,165.0,,1.71
4.56,0.49,2016-01-01,4.31,12,0.93,partly-cloudy-day,,,0.0,0.0,,1025.4,Partly Cloudy,5.41,1451646000,1.0,5.6,190.0,,1.39
6.22,0.66,2016-01-01,4.79,13,0.91,partly-cloudy-day,,,0.0,0.0,,1025.22,Mostly Cloudy,6.22,1451649600,1.0,5.86,168.0,,1.31
6.88,0.66,2016-01-01,4.67,14,0.86,partly-cloudy-day,,,0.0,0.0,,1024.77,Mostly Cloudy,6.88,1451653200,0.0,6.84,177.0,,1.21
6.23,0.76,2016-01-01,4.48,15,0.89,partly-cloudy-day,,,0.0,0.0,,1024.47,Mostly Cloudy,6.23,1451656800,0.0,7.72,123.0,,1.23
4.28,0.44,2016-01-01,4.06,16,0.9,partly-cloudy-day,,,0.0,0.0,,1023.98,Partly Cloudy,5.58,1451660400,0.0,8.85,118.0,,1.78
2.61,0.15,2016-01-01,3.45,17,0.93,clear-night,,,0.0,0.0,,1023.63,Clear,4.5,1451664000,0.0,7.39,109.0,,2.18
2.18,0.24,2016-01-01,3.36,18,0.92,clear-night,,,0.0,0.0,,1022.8,Clear,4.47,1451667600,0.0,6.58,110.0,,2.61
2.0,0.24,2016-01-01,3.26,19,0.92,clear-night,,,0.0,0.0,,1022.23,Clear,4.43,1451671200,0.0,7.29,106.0,,2.77
1.71,0.17,2016-01-01,2.82,20,0.91,clear-night,,,0.0,0.0,,1021.38,Clear,4.08,1451674800,0.0,7.71,104.0,,2.62
1.28,0.27,2016-01-01,2.82,21,0.9,partly-cloudy-night,,,0.0,0.0,,1020.4,Partly Cloudy,4.28,1451678400,0.0,8.56,103.0,,3.52
0.57,0.38,2016-01-01,2.59,22,0.91,partly-cloudy-night,,,0.0,0.0,,1019.73,Partly Cloudy,3.88,1451682000,0.0,9.14,103.0,,3.87
1.49,0.6,2016-01-01,2.76,23,0.9,partly-cloudy-night,,,0.0,0.0,,1019.61,Mostly Cloudy,4.33,1451685600,0.0,8.96,119.0,,3.29
1.13,0.31,2016-01-02,2.46,0,0.89,partly-cloudy-night,,,0.0,0.0,,1018.53,Partly Cloudy,4.14,1451689200,0.0,9.66,108.0,,3.48
0.7,0.42,2016-01-02,2.45,1,0.89,partly-cloudy-night,,,0.0,0.0,,1017.31,Partly Cloudy,4.12,1451692800,0.0,9.82,99.0,,4.14
0.59,0.53,2016-01-02,2.52,2,0.89,partly-cloudy-night,,,0.0,0.0,,1015.93,Partly Cloudy,4.13,1451696400,0.0,10.27,106.0,,4.35
0.44,0.59,2016-01-02,2.14,3,0.89,partly-cloudy-night,,,0.0,0.0,,1015.31,Partly Cloudy,3.83,1451700000,0.0,10.69,101.0,,3.97
-0.17,0.42,2016-01-02,2.01,4,0.88,partly-cloudy-night,,,0.0,0.0,,1014.31,Partly Cloudy,3.79,1451703600,0.0,11.18,112.0,,4.99
-0.16,0.81,2016-01-02,1.63,5,0.85,partly-cloudy-night,,,0.0,0.0,,1013.48,Mostly Cloudy,3.96,1451707200,0.0,11.59,114.0,,5.4
-0.16,0.76,2016-01-02,1.18,6,0.82,partly-cloudy-night,,,0.0,0.0,,1012.91,Mostly Cloudy,3.94,1451710800,0.0,11.81,114.0,,5.34
-0.27,0.53,2016-01-02,0.87,7,0.81,partly-cloudy-night,,,0.0,0.0,,1012.35,Partly Cloudy,3.78,1451714400,0.0,12.65,117.0,,5.16
0.08,0.38,2016-01-02,0.62,8,0.79,partly-cloudy-night,,,0.0,0.0,,1012.03,Partly Cloudy,3.88,1451718000,0.0,12.02,116.0,,4.73
-0.16,0.64,2016-01-02,0.45,9,0.78,partly-cloudy-day,,,0.1372,0.14,rain,1011.93,Mostly Cloudy,3.84,1451721600,0.0,10.51,114.0,,5.11
-0.04,0.94,2016-01-02,0.15,10,0.77,cloudy,,,0.0,0.0,,1011.73,Overcast,3.83,1451725200,0.0,10.44,114.0,,4.84
-0.37,0.62,2016-01-02,0.76,11,0.82,partly-cloudy-day,,,0.0711,0.28,rain,1011.51,Mostly Cloudy,3.61,1451728800,0.0,10.53,117.0,,4.94
-0.49,1.0,2016-01-02,1.06,12,0.84,cloudy,,,0.3099,0.61,rain,1011.25,Overcast,3.49,1451732400,0.0,10.57,116.0,,4.9
-0.67,1.0,2016-01-02,1.66,13,0.88,cloudy,,,0.16,0.38,rain,1010.83,Overcast,3.42,1451736000,0.0,9.61,118.0,,5.05
-0.57,1.0,2016-01-02,1.78,14,0.89,cloudy,,,0.0356,0.14,rain,1010.46,Overcast,3.47,1451739600,0.0,9.5,118.0,,4.98
-0.62,1.0,2016-01-02,1.66,15,0.88,cloudy,,,0.033,0.13,rain,1010.43,Overcast,3.46,1451743200,0.0,10.25,116.0,,5.06
-0.82,1.0,2016-01-02,1.56,16,0.89,cloudy,,,0.0,0.0,,1010.68,Overcast,3.21,1451746800,0.0,8.24,118.0,,4.85
-0.77,1.0,2016-01-02,1.75,17,0.9,cloudy,,,0.1295,0.38,rain,1010.76,Overcast,3.22,1451750400,0.0,8.26,114.0,,4.76
-1.06,1.0,2016-01-02,1.69,18,0.9,cloudy,,,0.16,0.38,rain,1010.71,Overcast,3.09,1451754000,0.0,8.45,114.0,,5.03
-0.99,1.0,2016-01-02,1.67,19,0.9,cloudy,,,0.033,0.13,rain,1010.71,Overcast,3.09,1451757600,0.0,7.93,115.0,,4.9
-1.17,1.0,2016-01-02,1.56,20,0.9,cloudy,,,0.0,0.0,,1010.58,Overcast,2.97,1451761200,0.0,8.61,115.0,,4.94
-1.63,1.0,2016-01-02,1.46,21,0.9,cloudy,,,0.0,0.0,,1010.31,Overcast,2.88,1451764800,0.0,9.12,116.0,,5.65
-1.68,1.0,2016-01-02,1.12,22,0.89,cloudy,,,0.0,0.0,,1010.03,Overcast,2.71,1451768400,0.0,9.46,114.0,,5.3
-1.56,1.0,2016-01-02,1.39,23,0.9,cloudy,,,0.0,0.0,,1009.68,Overcast,2.88,1451772000,0.0,9.45,118.0,,5.48
-1.77,1.0,2016-01-03,1.24,0,0.9,cloudy,,,0.0,0.0,,1009.36,Overcast,2.74,1451775600,0.0,9.41,111.0,,5.57
-1.88,0.88,2016-01-03,1.16,1,0.9,partly-cloudy-night,,,0.0,0.0,,1009.16,Mostly Cloudy,2.63,1451779200,0.0,8.95,111.0,,5.51
-1.9,0.88,2016-01-03,1.04,2,0.9,partly-cloudy-night,,,0.0,0.0,,1008.66,Mostly Cloudy,2.45,1451782800,0.0,9.11,106.0,,5.09
-1.97,1.0,2016-01-03,1.22,3,0.92,cloudy,,,0.1524,0.6,rain,1008.48,Overcast,2.42,1451786400,0.0,8.14,110.0,,5.16
-2.05,1.0,2016-01-03,0.87,4,0.92,cloudy,,,0.127,0.25,rain,1008.11,Overcast,2.07,1451790000,0.0,7.77,106.0,,4.51
-0.87,1.0,2016-01-03,1.48,5,0.9,cloudy,,,0.2642,0.38,rain,1007.53,Overcast,3.01,1451793600,0.0,7.81,122.0,,4.46
-0.94,1.0,2016-01-03,1.65,6,0.92,cloudy,,,0.32,0.5,rain,1007.06,Overcast,2.82,1451797200,0.0,6.24,123.0,,4.2
-0.91,1.0,2016-01-03,2.02,7,0.94,rain,,,0.668,0.75,rain,1006.63,Light Rain,2.91,1451800800,0.0,7.31,127.0,,4.33
-0.72,1.0,2016-01-03,2.58,8,0.96,cloudy,,,0.4166,0.61,rain,1006.23,Overcast,3.18,1451804400,0.0,5.73,125.0,,4.58
-0.45,1.0,2016-01-03,2.67,9,0.96,rain,,,0.6426,0.75,rain,1005.83,Light Rain,3.26,1451808000,0.0,6.28,123.0,,4.27
-0.52,1.0,2016-01-03,2.32,10,0.95,cloudy,,,0.127,0.25,rain,1005.48,Overcast,3.0,1451811600,0.0,6.68,127.0,,3.88
0.52,1.0,2016-01-03,2.95,11,0.95,cloudy,,,0.4064,0.74,rain,1005.18,Overcast,3.69,1451815200,0.0,7.23,134.0,,3.59
1.11,1.0,2016-01-03,2.97,12,0.92,cloudy,,,0.1829,0.47,rain,1004.53,Overcast,4.11,1451818800,0.0,6.39,139.0,,3.46
1.11,1.0,2016-01-03,3.11,13,0.92,cloudy,,,0.16,0.38,rain,1003.58,Overcast,4.28,1451822400,0.0,5.99,144.0,,3.79
1.26,1.0,2016-01-03,3.27,14,0.93,cloudy,,,0.033,0.13,rain,1002.68,Overcast,4.37,1451826000,0.0,5.75,137.0,,3.71
1.12,0.94,2016-01-03,3.07,15,0.91,cloudy,,,0.033,0.13,rain,1001.65,Overcast,4.39,1451829600,0.0,7.15,134.0,,3.99
0.2,0.94,2016-01-03,2.27,16,0.91,cloudy,,,0.0,0.0,,1001.05,Overcast,3.65,1451833200,0.0,8.74,125.0,,4.0
0.78,0.94,2016-01-03,2.36,17,0.89,cloudy,,,0.0,0.0,,1000.21,Overcast,3.94,1451836800,0.0,9.08,120.0,,3.64
0.16,1.0,2016-01-03,2.23,18,0.9,cloudy,,,0.0,0.0,,999.08,Overcast,3.67,1451840400,0.0,9.62,119.0,,4.11
-0.21,0.81,2016-01-03,1.91,19,0.88,partly-cloudy-night,,,0.0,0.0,,997.91,Mostly Cloudy,3.66,1451844000,0.0,9.59,123.0,,4.74
-0.71,0.88,2016-01-03,1.77,20,0.89,partly-cloudy-night,,,0.0,0.0,,996.51,Mostly Cloudy,3.38,1451847600,0.0,9.59,118.0,,5.03
-1.28,1.0,2016-01-03,1.25,21,0.88,cloudy,,,0.0,0.0,,995.26,Overcast,3.03,1451851200,0.0,9.74,121.0,,5.31
-1.84,0.66,2016-01-03,0.86,22,0.88,partly-cloudy-night,,,0.0,0.0,,994.36,Mostly Cloudy,2.66,1451854800,0.0,9.41,123.0,,5.5
-1.99,1.0,2016-01-03,1.24,23,0.91,cloudy,,,0.1372,0.14,rain,993.36,Overcast,2.63,1451858400,0.0,9.03,118.0,,5.71
-2.31,0.66,2016-01-04,0.9,0,0.9,partly-cloudy-night,,,0.2159,0.36,rain,992.36,Mostly Cloudy,2.45,1451862000,0.0,8.87,118.0,,5.92
-2.32,0.66,2016-01-04,0.74,1,0.89,partly-cloudy-night,,,0.5283,0.74,rain,991.63,Mostly Cloudy,2.43,1451865600,0.0,8.35,113.0,,5.91
-3.12,0.66,2016-01-04,0.64,2,0.92,partly-cloudy-night,,,0.4623,0.74,rain,990.76,Mostly Cloudy,1.82,1451869200,0.0,7.24,113.0,,5.94
-3.19,0.88,2016-01-04,0.46,3,0.92,partly-cloudy-night,,,0.315,0.49,rain,990.33,Mostly Cloudy,1.63,1451872800,0.0,5.28,113.0,,5.59
-3.84,0.88,2016-01-04,-0.23,4,0.92,partly-cloudy-night,,0.097,0.127,0.25,snow,989.88,Mostly Cloudy,0.87,1451876400,0.0,5.26,100.0,,5.02
-2.98,1.0,2016-01-04,0.06,5,0.91,cloudy,,,0.1372,0.26,rain,989.38,Overcast,1.31,1451880000,0.0,6.23,114.0,,4.48
-3.43,1.0,2016-01-04,-0.31,6,0.92,cloudy,,0.069,0.0914,0.36,snow,989.21,Overcast,0.9,1451883600,0.0,6.76,106.0,,4.39
-3.42,1.0,2016-01-04,-0.54,7,0.91,cloudy,,0.091,0.1194,0.47,snow,989.11,Overcast,0.71,1451887200,0.0,6.73,104.0,,4.01
-3.27,1.0,2016-01-04,-0.37,8,0.92,snow,,0.218,0.287,0.47,snow,989.08,Light Snow,0.71,1451890800,0.0,5.28,108.0,,3.79
-3.19,1.0,2016-01-04,-0.46,9,0.92,snow,,0.465,0.6096,0.74,snow,989.51,Snow,0.65,1451894400,0.0,4.67,104.0,,3.58
-3.49,0.88,2016-01-04,-0.68,10,0.95,partly-cloudy-day,,0.097,0.127,0.25,snow,989.81,Mostly Cloudy,0.08,1451898000,0.0,4.43,98.0,,3.11
-2.84,0.88,2016-01-04,-0.14,11,0.94,snow,,0.389,0.5105,0.6,snow,989.96,Snow,0.66,1451901600,0.0,4.06,101.0,,3.15
-1.69,1.0,2016-01-04,0.21,12,0.95,snow,,0.231,0.3048,0.6,snow,989.83,Light Snow,0.96,1451905200,0.0,4.6,106.0,,2.32
-1.51,1.0,2016-01-04,0.33,13,0.95,cloudy,,0.091,0.1194,0.47,snow,989.73,Overcast,1.04,1451908800,0.0,4.55,109.0,,2.24
-1.26,1.0,2016-01-04,0.38,14,0.95,cloudy,,,0.0,0.0,,989.88,Overcast,1.12,1451912400,0.0,4.78,104.0,,2.1
-0.69,1.0,2016-01-04,0.34,15,0.94,cloudy,,,0.1956,0.38,rain,989.98,Overcast,1.23,1451916000,0.0,5.33,118.0,,1.73
-0.96,1.0,2016-01-04,0.21,16,0.95,cloudy,,,0.0,0.0,,990.26,Overcast,0.99,1451919600,0.0,5.25,124.0,,1.74
-1.27,1.0,2016-01-04,0.38,17,0.94,cloudy,,,0.0,0.0,,990.48,Overcast,1.3,1451923200,0.0,5.54,120.0,,2.29
-1.64,1.0,2016-01-04,0.47,18,0.96,cloudy,,,0.0,0.0,,990.73,Overcast,1.07,1451926800,0.0,5.75,115.0,,2.39
-1.59,1.0,2016-01-04,0.17,19,0.94,cloudy,,0.025,0.0356,0.14,snow,990.88,Overcast,1.04,1451930400,0.0,5.5,113.0,,2.31
-1.5,1.0,2016-01-04,0.37,20,0.95,cloudy,,0.025,0.0356,0.14,snow,991.06,Overcast,1.06,1451934000,0.0,5.42,117.0,,2.24
-1.63,1.0,2016-01-04,0.16,21,0.96,cloudy,,,0.0,0.0,,991.13,Overcast,0.76,1451937600,0.0,4.59,117.0,,2.04
-1.62,1.0,2016-01-04,0.16,22,0.95,cloudy,,,0.0,0.0,,991.31,Overcast,0.87,1451941200,0.0,4.75,129.0,,2.15
-1.76,0.88,2016-01-04,0.42,23,0.95,partly-cloudy-night,,,0.1626,0.36,rain,991.26,Mostly Cloudy,1.16,1451944800,0.0,4.8,128.0,,2.61
-2.11,1.0,2016-01-05,0.29,0,0.97,cloudy,,0.097,0.127,0.25,snow,991.13,Overcast,0.74,1451948400,0.0,3.91,111.0,,2.46
-2.26,0.76,2016-01-05,0.19,1,0.95,partly-cloudy-night,,,0.0,0.0,,991.06,Mostly Cloudy,0.87,1451952000,0.0,3.54,113.0,,2.78
-1.76,0.81,2016-01-05,0.64,2,0.96,fog,,,0.0,0.0,,990.96,Foggy,1.16,1451955600,0.0,2.53,112.0,,2.62
-1.66,0.94,2016-01-05,0.85,3,0.97,cloudy,,,0.1067,0.14,rain,991.11,Overcast,1.29,1451959200,0.0,3.52,113.0,,2.67
-1.96,0.94,2016-01-05,0.43,4,0.97,cloudy,,,0.0,0.0,,991.06,Overcast,0.91,1451962800,0.0,3.81,120.0,,2.5
-0.12,0.88,2016-01-05,1.2,5,0.94,fog,,,0.0635,0.25,rain,990.86,Foggy,2.12,1451966400,0.0,3.09,135.0,,2.11
-0.37,1.0,2016-01-05,1.05,6,0.93,cloudy,,,0.0635,0.25,rain,990.85,Overcast,2.06,1451970000,0.0,4.18,119.0,,2.28
-0.44,1.0,2016-01-05,1.13,7,0.94,cloudy,,,0.0,0.0,,991.21,Overcast,2.04,1451973600,0.0,4.36,120.0,,2.33
-0.41,0.94,2016-01-05,1.19,8,0.93,cloudy,,,0.0,0.0,,991.58,Overcast,2.13,1451977200,0.0,5.07,122.0,,2.41
0.25,1.0,2016-01-05,1.17,9,0.91,cloudy,,,0.0,0.0,,992.08,Overcast,2.47,1451980800,0.0,5.42,132.0,,2.15
0.42,1.0,2016-01-05,1.23,10,0.92,cloudy,,,0.0,0.0,,992.46,Overcast,2.44,1451984400,0.0,5.54,116.0,,1.98
0.75,1.0,2016-01-05,1.71,11,0.91,cloudy,,,0.0,0.0,,993.01,Overcast,3.11,1451988000,0.0,5.79,127.0,,2.4
1.5,1.0,2016-01-05,2.08,12,0.91,cloudy,,,0.0,0.0,,993.06,Overcast,3.48,1451991600,0.0,6.28,122.0,,2.09
1.89,0.88,2016-01-05,2.1,13,0.88,partly-cloudy-day,,,0.0,0.0,,993.06,Mostly Cloudy,3.88,1451995200,0.0,6.44,119.0,,2.17
1.9,1.0,2016-01-05,1.71,14,0.87,cloudy,,,0.0,0.0,,993.18,Overcast,3.59,1451998800,0.0,5.76,111.0,,1.85
1.32,1.0,2016-01-05,1.54,15,0.88,cloudy,,,0.0,0.0,,993.53,Overcast,3.32,1452002400,0.0,5.5,100.0,,2.08
0.51,1.0,2016-01-05,1.17,16,0.89,cloudy,,,0.0,0.0,,993.94,Overcast,2.74,1452006000,0.0,5.83,97.0,,2.22
-0.06,1.0,2016-01-05,1.02,17,0.9,cloudy,,,0.0,0.0,,994.46,Overcast,2.53,1452009600,0.0,5.62,94.0,,2.53
-0.72,1.0,2016-01-05,0.91,18,0.92,cloudy,,,0.0,0.0,,994.94,Overcast,2.03,1452013200,0.0,5.5,88.0,,2.61
-1.45,0.94,2016-01-05,0.39,19,0.91,cloudy,,,0.0,0.0,,995.34,Overcast,1.77,1452016800,0.0,5.76,100.0,,3.08
-1.88,0.88,2016-01-05,0.24,20,0.93,partly-cloudy-night,,,0.0,0.0,,995.71,Mostly Cloudy,1.29,1452020400,0.0,5.68,94.0,,2.93
-2.24,1.0,2016-01-05,-0.66,21,0.9,cloudy,,,0.0,0.0,,996.04,Overcast,0.74,1452024000,0.0,5.36,95.0,,2.6
-2.88,0.88,2016-01-05,-1.1,22,0.91,partly-cloudy-night,,,0.0,0.0,,996.48,Mostly Cloudy,0.23,1452027600,0.0,5.26,98.0,,2.63
-2.87,0.88,2016-01-05,-0.85,23,0.91,partly-cloudy-night,,0.048,0.0635,0.25,snow,996.81,Mostly Cloudy,0.51,1452031200,0.0,5.46,92.0,,2.97
-4.19,1.0,2016-01-06,-1.37,0,0.95,cloudy,,0.038,0.0457,0.18,snow,997.9,Overcast,-0.63,1452034800,0.0,4.62,99.0,,2.92
-4.88,1.0,2016-01-06,-1.81,1,0.94,cloudy,,,0.0,0.0,,997.08,Overcast,-0.91,1452038400,0.0,4.17,86.0,,3.33
-4.76,1.0,2016-01-06,-1.93,2,0.93,cloudy,,,0.0,0.0,,997.33,Overcast,-1.02,1452042000,0.0,4.15,87.0,,3.04
-5.17,1.0,2016-01-06,-1.92,3,0.95,cloudy,,,0.0,0.0,,997.63,Overcast,-1.23,1452045600,0.0,4.1,88.0,,3.21
-5.47,1.0,2016-01-06,-2.71,4,0.93,cloudy,,,0.0,0.0,,997.78,Overcast,-1.76,1452049200,0.0,4.01,90.0,,2.85
-4.77,1.0,2016-01-06,-1.92,5,0.94,cloudy,,0.099,0.1118,0.22,snow,997.93,Overcast,-1.08,1452052800,0.0,4.23,88.0,,2.97
-4.26,0.88,2016-01-06,-1.78,6,0.93,partly-cloudy-night,,,0.0,0.0,,998.13,Mostly Cloudy,-0.85,1452056400,0.0,3.64,83.0,,2.72
-4.64,1.0,2016-01-06,-1.87,7,0.94,fog,,,0.0,0.0,,998.51,Foggy,-0.96,1452060000,0.0,3.04,84.0,,2.99
-4.27,1.0,2016-01-06,-1.51,8,0.94,fog,,,0.0,0.0,,998.78,Foggy,-0.59,1452063600,0.0,2.96,88.0,,3.06
-4.06,0.88,2016-01-06,-1.54,9,0.93,fog,,0.056,0.066,0.13,snow,999.41,Foggy,-0.62,1452067200,0.0,2.95,83.0,,2.8
-4.37,0.94,2016-01-06,-1.66,10,0.94,fog,,,0.0,0.0,,999.93,Foggy,-0.81,1452070800,0.0,3.2,83.0,,2.89
-4.13,1.0,2016-01-06,-1.34,11,0.95,fog,,0.053,0.066,0.13,snow,1000.36,Foggy,-0.58,1452074400,0.0,3.12,83.0,,2.92
-3.98,0.75,2016-01-06,-1.32,12,0.94,partly-cloudy-day,,,0.0,0.0,,1000.36,Mostly Cloudy,-0.44,1452078000,1.0,3.43,76.0,,2.95
-3.49,1.0,2016-01-06,-1.17,13,0.93,cloudy,,,0.0,0.0,,1000.31,Overcast,-0.21,1452081600,0.0,3.41,76.0,,2.73
-3.02,0.94,2016-01-06,-0.99,14,0.93,cloudy,,,0.0,0.0,,1000.48,Overcast,0.01,1452085200,0.0,3.51,77.0,,2.51
-3.54,1.0,2016-01-06,-1.19,15,0.93,cloudy,,,0.0,0.0,,1000.61,Overcast,-0.16,1452088800,0.0,3.49,79.0,,2.84
-2.98,1.0,2016-01-06,-1.06,16,0.93,cloudy,,,0.0,0.0,,1000.91,Overcast,-0.12,1452092400,0.0,3.56,84.0,,2.33
-3.25,1.0,2016-01-06,-0.96,17,0.94,cloudy,,,0.0,0.0,,1001.03,Overcast,-0.05,1452096000,0.0,3.4,77.0,,2.67
-3.17,1.0,2016-01-06,-1.03,18,0.94,cloudy,,,0.0,0.0,,1001.28,Overcast,-0.18,1452099600,0.0,3.35,66.0,,2.43
-3.32,0.88,2016-01-06,-1.17,19,0.94,fog,,0.028,0.0356,0.14,snow,1001.16,Foggy,-0.39,1452103200,0.0,3.06,84.0,,2.35
-3.23,1.0,2016-01-06,-1.06,20,0.94,cloudy,,0.081,0.1041,0.14,snow,1001.13,Overcast,-0.21,1452106800,0.0,3.51,92.0,,2.46
-3.81,0.62,2016-01-06,-1.29,21,0.94,fog,,,0.0,0.0,,1001.18,Foggy,-0.47,1452110400,0.0,2.96,100.0,,2.74
-4.04,0.94,2016-01-06,-1.38,22,0.95,fog,,,0.0,0.0,,1000.68,Foggy,-0.73,1452114000,0.0,3.2,101.0,,2.66
-3.48,0.88,2016-01-06,-1.2,23,0.92,fog,,,0.0,0.0,,1000.38,Foggy,-0.13,1452117600,0.0,3.04,100.0,,2.82
-3.71,0.66,2016-01-07,-1.44,0,0.94,partly-cloudy-night,,,0.0,0.0,,1000.56,Mostly Cloudy,-0.53,1452121200,0.0,3.49,105.0,,2.56
-3.78,0.66,2016-01-07,-1.51,1,0.93,partly-cloudy-night,,,0.0,0.0,,1000.18,Mostly Cloudy,-0.57,1452124800,0.0,3.6,106.0,,2.58
-3.73,0.66,2016-01-07,-1.01,2,0.97,partly-cloudy-night,,,0.0,0.0,,1000.03,Mostly Cloudy,-0.53,1452128400,0.0,3.51,109.0,,2.58
-3.56,0.66,2016-01-07,-0.92,3,0.94,partly-cloudy-night,,,0.0,0.0,,999.81,Mostly Cloudy,-0.06,1452132000,0.0,3.56,110.0,,2.99
-3.94,0.81,2016-01-07,-1.22,4,0.94,partly-cloudy-night,,,0.0,0.0,,998.98,Mostly Cloudy,-0.36,1452135600,0.0,3.69,114.0,,3.01
-2.2,0.88,2016-01-07,0.06,5,0.93,partly-cloudy-night,,,0.0,0.0,,998.33,Mostly Cloudy,1.02,1452139200,0.0,4.12,119.0,,2.91
-2.34,0.94,2016-01-07,-0.21,6,0.91,fog,,,0.0,0.0,,997.91,Foggy,1.11,1452142800,0.0,3.15,116.0,,3.21
-2.47,0.88,2016-01-07,0.31,7,0.94,fog,,,0.0,0.0,,996.78,Foggy,1.19,1452146400,0.0,3.2,111.0,,3.51
-1.48,0.35,2016-01-07,0.54,8,0.91,partly-cloudy-night,,,0.0,0.0,,995.98,Partly Cloudy,1.8,1452150000,0.0,3.36,117.0,,3.17
-1.38,0.3,2016-01-07,1.08,9,0.93,partly-cloudy-day,,,0.0,0.0,,994.96,Partly Cloudy,2.05,1452153600,0.0,4.02,125.0,,3.43
-1.32,0.4,2016-01-07,1.04,10,0.91,partly-cloudy-day,,,0.0,0.0,,994.15,Partly Cloudy,2.39,1452157200,0.0,5.04,116.0,,3.95
-0.04,0.37,2016-01-07,1.73,11,0.88,partly-cloudy-day,,,0.0356,0.14,rain,993.83,Partly Cloudy,3.49,1452160800,1.0,6.53,121.0,,4.09
0.82,0.33,2016-01-07,1.93,12,0.86,partly-cloudy-day,,,0.033,0.13,rain,992.91,Partly Cloudy,4.08,1452164400,1.0,7.29,125.0,,3.85
0.72,0.42,2016-01-07,2.38,13,0.88,partly-cloudy-day,,,0.066,0.13,rain,991.33,Partly Cloudy,4.26,1452168000,1.0,6.95,121.0,,4.39
0.92,0.81,2016-01-07,2.35,14,0.85,partly-cloudy-day,,,0.1346,0.26,rain,989.91,Mostly Cloudy,4.61,1452171600,0.0,7.03,120.0,,4.85
1.13,0.81,2016-01-07,2.46,15,0.85,partly-cloudy-day,,,0.2718,0.26,rain,989.03,Mostly Cloudy,4.69,1452175200,0.0,7.63,123.0,,4.64
0.97,0.94,2016-01-07,2.32,16,0.84,cloudy,,,0.0635,0.25,rain,988.65,Overcast,4.81,1452178800,0.0,8.88,137.0,,5.27
0.37,0.88,2016-01-07,3.07,17,0.91,rain,,,1.2954,0.88,rain,988.28,Light Rain,4.48,1452182400,0.0,8.11,145.0,,5.69
0.19,0.88,2016-01-07,3.16,18,0.91,rain,,,1.4656,0.74,rain,987.63,Rain,4.51,1452186000,0.0,8.13,149.0,,6.22
1.04,1.0,2016-01-07,3.74,19,0.92,rain,,,1.5189,0.88,rain,987.1,Rain,4.88,1452189600,0.0,7.92,165.0,,5.3
1.83,1.0,2016-01-07,3.95,20,0.93,rain,,,0.9779,0.88,rain,987.71,Light Rain,5.01,1452193200,0.0,8.16,191.0,,4.06
1.64,1.0,2016-01-07,4.04,21,0.88,cloudy,,,0.3505,0.74,rain,988.96,Overcast,5.79,1452196800,0.0,7.71,240.0,,6.67
0.97,0.94,2016-01-07,3.31,22,0.85,wind,,,0.127,0.25,rain,990.61,Breezy and Overcast,5.72,1452200400,0.0,9.16,245.0,,8.43
1.15,0.71,2016-01-07,2.54,23,0.8,wind,,,0.2718,0.52,rain,991.53,Breezy and Mostly Cloudy,5.79,1452204000,0.0,10.32,238.0,,8.16
1.04,0.81,2016-01-08,2.05,0,0.78,wind,,,0.0991,0.13,rain,992.56,Breezy and Mostly Cloudy,5.57,1452207600,0.0,10.43,235.0,,7.58
